City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,okha,18.422,52.4193,296.57,43,12,3.22,YE,1699916410
112,chui,2.3372,-61.122,300.45,53,92,0.41,BR,1699916468
113,blenheim,57.1284,-135.2235,274.14,70,100,3.09,US,1699916471
114,tofol,61.7257,36.5138,272.09,93,100,2.38,RU,1699916481
115,oak grove,18.1401,20.4993,298.74,21,89,8.37,TD,1699916500
116,hoi an,35.7264,-114.8612,291.78,19,77,7.28,US,1699916502
117,dursunbey,49.8958,16.4559,283.12,93,100,6.22,CZ,1699916505
118,margate,64.6092,44.2655,270.36,95,100,3.7,RU,1699916510
119,afaahiti,38.4632,-111.4952,276.21,26,92,1.72,US,1699916513
120,lazaro cardenas,56.4848,47.371,277.69,83,100,4.6,RU,1699916516
121,ryotsu-minato,17.7759,-72.7947,302.13,76,0,9.6,HT,1699916517
122,saint simons island,51.3911,-73.0595,267.37,91,55,3.88,CA,1699916531
123,hrodna,60.1232,62.7449,273.3,99,100,3.62,RU,1699916532
124,tonala,50.8035,42.5378,277.03,92,80,3.03,RU,1699916547
125,caleta de carquin,37.4386,-122.5994,294.34,85,75,4.12,US,1699916549
126,mil'kovo,43.1469,-9.7015,290.16,97,100,11.94,ES,1699916558
127,mehendiganj,60.0969,-141.9519,266.58,91,100,6.77,US,1699916563
128,barreirinhas,39.1439,-123.8619,293.37,89,43,6.96,US,1699916570
129,soe,-3.3332,-49.1054,304.8,37,68,1.25,BR,1699916571
130,nianzishan,58.6381,59.5037,274.9,98,100,3.2,RU,1699916575
131,east aurora,39.5298,93.4204,270.2,39,94,2.6,CN,1699916578
132,saskatoon,30.8058,26.7245,290.51,78,0,3.54,EG,1699916583
133,shache,19.6269,78.6891,293.35,62,100,1.39,IN,1699916584
134,gangapur,23.2516,-83.3292,300.19,74,23,9.31,CU,1699916587
